date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:21:58	20069/20069	---M--	200	added ('OK')	text/html	etag:W/%224e65-hdaOWUBTwJhQndq3CLJOKf4WJhI%22	https://safewithguardian.herokuapp.com/	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/index.html	(from )
14:21:58	149/149	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Dec%202021%2008:51:41%20GMT	https://safewithguardian.herokuapp.com/robots.txt		(from )
14:21:59	11823/11823	---M--	200	added ('OK')	image/png	etag:W/%222e2f-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/apple-touch-icon.png	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/apple-touch-icon.png	(from https://safewithguardian.herokuapp.com/)
14:21:59	1638/1638	---M--	200	added ('OK')	image/png	etag:W/%22666-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/favicon-32x32.png	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/favicon-32x32.png	(from https://safewithguardian.herokuapp.com/)
14:21:59	760/760	---M--	200	added ('OK')	image/png	etag:W/%222f8-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/favicon-16x16.png	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/favicon-16x16.png	(from https://safewithguardian.herokuapp.com/)
14:21:59	263/263	---M--	200	added ('OK')	application/manifest+json	etag:W/%22107-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/site.webmanifest	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/site.webmanifest	(from https://safewithguardian.herokuapp.com/)
14:22:00	63/63	---MCZ	302	error ('Found')	text/plain	date:Sun,%2019%20Dec%202021%2008:51:43%20GMT	https://unpkg.com/tailwindcss@^2/dist/tailwind.min.css	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/unpkg.com/tailwindcss@^2/dist/tailwind.min.4.delayed	(from https://safewithguardian.herokuapp.com/)
14:22:01	2934019/2934019	---MCZ	200	added ('OK')	text/css	etag:%222cc503-cyTPK4s7rX9aC3Y3NNaHIxjV1fQ%22	https://unpkg.com/tailwindcss@2.2.19/dist/tailwind.min.css	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/unpkg.com/tailwindcss@2.2.19/dist/tailwind.min.css	(from https://safewithguardian.herokuapp.com/)
14:22:01	11084/11084	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03f26-2b4c%22	https://cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/cdnjs.cloudflare.com/ajax/libs/modernizr/2.8.3/modernizr.min.js	(from https://safewithguardian.herokuapp.com/)
14:22:01	77/77	---MCZ	302	error ('Found')	text/plain	date:Sun,%2019%20Dec%202021%2008:51:44%20GMT	https://unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/unpkg.com/@lottiefiles/lottie-player@latest/dist/lottie-player.js	(from https://safewithguardian.herokuapp.com/)
14:22:01	356222/356222	---MCZ	200	added ('OK')	application/javascript	etag:%2256f7e-VYoDVtwO3XoCCzwzkX6803GcJKU%22	https://unpkg.com/@lottiefiles/lottie-player@1.5.4/dist/lottie-player.js	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/unpkg.com/@lottiefiles/lottie-player@1.5.4/dist/lottie-player.js	(from https://safewithguardian.herokuapp.com/)
14:22:01	150/150	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2019%20Dec%202021%2008:51:44%20GMT	https://safewithguardian.herokuapp.com/transparent	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/transparent	(from https://safewithguardian.herokuapp.com/)
14:22:02	34055/34055	---M--	200	added ('OK')	application/octet-stream	etag:W/%228507-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/gurmeharmemoji.jfif	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/gurmeharmemoji.jfif	(from https://safewithguardian.herokuapp.com/)
14:22:02	11090/11090	---M--	200	added ('OK')	image/jpeg	etag:W/%222b52-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/mananmemoji.jpeg	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/mananmemoji.jpg	(from https://safewithguardian.herokuapp.com/)
14:22:02	13124/13124	---M--	200	added ('OK')	application/octet-stream	etag:W/%223344-17cfae4ff20%22	https://safewithguardian.herokuapp.com/images/memoji_manvi.jfif	C:/Users/JOY%20DEEP%20SAHA/Downloads/Guadian/safewithguardian.herokuapp.com/images/memoji_manvi.jfif	(from https://safewithguardian.herokuapp.com/)
